date,CA-AB,CA-BC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-NU,CA-ON,CA-PE,CA-QC,CA-SK,CA-YT
2020-05-18,28.81056546,49.61819608,33.07879739,30.41115244,42.14879022,0,0,0,53.35289901,0,18.13998566,0,0
2020-05-19,64.32991453,68.11402715,19.67738562,75.68225239,0,0,75.68225239,0,62.05944696,0,29.51607843,0,0
2020-05-20,59.41351775,55.49614296,24.15714458,47.66139336,0,0,32.64478997,0,65.28957995,0,23.50424878,0,0
2020-05-21,58.52074592,78.02766123,57.2202849,28.61014245,41.61475265,0,37.71336959,0,65.02305102,130.046102,13.0046102,33.81198653,0
2020-05-22,55.01386961,92.76848602,107.8703326,29.1249898,44.22683636,0,83.06015608,0,52.85646296,0,32.36109977,93.84718934,0
2020-05-23,56.11928857,67.69945923,57.01007093,0,0,0,89.07823583,0,53.4469415,0,15.14330009,16.03408245,0
2020-05-24,74.34017094,92.92521368,18.58504274,0,57.61363248,0,0,0,64.11839744,0,21.37279915,48.32111111,0
2020-05-25,37.72725677,57.98819096,39.82321548,51.70031483,40.52186838,0,69.86529032,0,44.0151329,0,9.781140644,33.53533935,0
2020-05-26,32.97666219,81.83097654,89.15912369,28.09123075,0,0,0,0,51.29703007,122.1357859,8.549505012,36.64073576,0
2020-05-27,62.05724431,80.59382378,20.95439418,0,0,0,53.19192369,0,57.22161488,0,18.53657947,24.17814713,0
2020-05-28,21.89472239,46.58451572,11.64612893,22.36056755,0,0,31.67747069,0,32.60916101,0,10.71443862,43.32359962,0
2020-05-29,41.7,35.74285714,0,35.74285714,59.57142857,0,0,0,41.7,0,11.91428571,23.82857143,595.7142857
2020-05-30,128.3969231,144.2662057,0,0,124.0689369,0,98.10101988,0,112.5276404,0,18.75460674,0,0
2020-05-31,45.67479092,44.04354839,42.41230585,106.0307646,0,0,75.03715651,0,50.56851852,163.1242533,14.6811828,0,0
2020-06-01,21.40740741,32.11111111,48.16666667,32.11111111,0,535.1851852,21.40740741,0,48.16666667,0,10.7037037,21.40740741,0
2020-06-02,28.45218314,35.71657032,0,24.21462395,30.87364553,0,30.87364553,0,32.08437673,0,7.264387184,60.53655986,0
2020-06-03,28.00952381,24.50833333,10.50357143,17.50595238,0,0,35.01190476,0,21.00714286,0,0,24.50833333,350.1190476
2020-06-04,22.63540373,39.94483011,43.49548167,41.72015589,0,0,44.38314456,0,23.07923517,0,10.20812325,13.75877481,0
2020-06-05,30.54589947,26.82078978,53.64157956,74.50219383,0,0,17.13550458,0,17.88052652,0,3.725109692,15.6454607,0
2020-06-06,26.53963047,24.64394258,15.16550312,189.5687891,47.39219726,0,17.06119101,0,32.22669414,0,9.478439453,73.93182773,0
2020-06-07,68.74742029,37.49859289,52.08137901,43.74835837,66.66416513,0,120.8287993,0,47.91486869,208.325516,4.166510321,0,0
2020-06-08,23.57696257,61.74918768,0,46.03121263,0,0,60.62647517,0,57.25833766,0,6.736275019,112.2712503,0
2020-06-09,23.24519231,24.79487179,32.54326923,0,154.9679487,0,0,0,20.14583333,94.53044872,6.198717949,13.94711538,0
2020-06-10,18.29538123,33.36216578,18.29538123,33.36216578,107.6198896,0,0,0,47.35275142,0,16.14298344,21.52397792,0
2020-06-11,23.08938272,22.34456392,10.05505376,18.24806053,0,0,26.06865791,0,34.63407407,0,10.05505376,37.24093986,0
2020-06-12,10.47545156,46.73663004,45.1250221,38.67859038,0,0,80.58039661,0,52.3772578,0,9.669647594,0,0
2020-06-13,50.16987179,34.78444444,48.16307692,0,0,0,28.09512821,0,66.89316239,0,16.7232906,0,0
2020-06-14,20.26012223,15.75787285,0,75.03748974,0,0,48.77436833,0,57.7788671,0,12.75637326,0,0
2020-06-15,12.38327273,25.27198516,16.6795102,15.6686308,0,0,0,0,17.69038961,0,10.10879406,0,0
2020-06-16,28.5362707,25.41511609,12.48461843,24.52335763,37.45385529,0,16.94341073,0,38.34561375,0,11.59285997,44.58792297,0
2020-06-17,46.9642328,28.58692432,85.76077295,44.92230964,0,0,0,0,55.13192547,204.1923165,6.125769496,51.04807914,0
2020-06-18,16.61783999,18.16883838,0,19.05512318,0,0,0,0,21.93554878,0,0,22.15711998,0
2020-06-19,0,54.25333333,33.90833333,0,108.5066667,678.1666667,27.12666667,0,33.90833333,0,6.781666667,40.69,0
2020-06-20,23.52773109,24.39912854,0,0,0,0,0,0,29.62751323,0,3.049891068,43.56987239,0
2020-06-21,27.78650235,42.74846515,42.74846515,41.03852654,0,0,0,0,30.35141026,0,10.25963164,0,0
2020-06-22,27.79298874,25.70851459,13.89649437,25.36110223,0,0,34.74123593,0,31.6145247,0,10.07495842,0,0
